Time	EMG	Muscle Force
0	0	0.278847
0.001	0	0.278847
0.002	0	0.278847
0.003	0	0.278847
0.004	0	0.278847
0.005	0	0.278847
0.006	0	0.278473
0.007	0	0.278473
0.008	0	0.278473
0.009	0	0.278099
0.01	0	0.278099
0.011	0	0.278099
0.012	0	0.277726
0.013	0	0.277726
0.014	0	0.277726
0.015	0	0.277352
0.016	0	0.277352
0.017	0	0.277352
0.018	0	0.276978
0.019	0	0.276978
0.02	0	0.276978
0.021	0	0.276978
0.022	0	0.276605
0.023	0	0.276605
0.024	0	0.276605
0.025	0	0.276605
0.026	0	0.276605
0.027	0	0.27623
0.028	0	0.27623
0.029	0	0.27623
0.03	0	0.27623
0.031	0	0.27623
0.032	0	0.27623
0.033	0	0.27623
0.034	0	0.275858
0.035	0	0.275858
0.036	0	0.275858
0.037	0	0.275858
0.038	0	0.275858
0.039	0	0.275858
0.04	0	0.275858
0.041	0	0.275858
0.042	0	0.275858
0.043	0	0.275858
0.044	0	0.275858
0.045	0	0.275858
0.046	0	0.275483
0.047	0	0.275483
0.048	0	0.275483
0.049	0	0.275483
0.05	0	0.275483
0.051	-0.176599	0.275483
0.052	-0.24273	0.275483
0.053	0.0639955	0.275483
0.054	0.199973	0.275483
0.055	0.107644	0.275483
0.056	-0.0489449	0.275483
0.057	-0.168424	0.275483
0.058	-0.117665	0.275483
0.059	0.0925369	0.275483
0.06	0.27004	0.275483
0.061	0.0112332	0.275483
0.062	-0.22119	0.275483
0.063	-0.162488	0.275483
0.064	0.0408027	0.275483
0.065	0.172086	0.275483
0.066	0.156568	0.275483
0.067	-0.00323638	0.275483
0.068	-0.242006	0.275483
0.069	-0.154236	0.275483
0.07	0.13154	0.275483
0.071	0.183944	0.275483
0.072	0.0520412	0.275483
0.073	-0.105552	0.275483
0.074	-0.167649	0.275483
0.075	-0.0493664	0.275483
0.076	0.195481	0.275483
0.077	0.225708	0.275483
0.078	-0.113173	0.275483
0.079	-0.249745	0.275483
0.08	-0.0962374	0.275483
0.081	0.103308	0.275483
0.082	0.200766	0.275483
0.083	0.122442	0.275483
0.084	-0.0879926	0.275483
0.085	-0.273498	0.275483
0.086	-0.0464649	0.275483
0.087	0.167714	0.275483
0.088	0.143811	0.275483
0.089	-0.00226883	0.275483
0.09	-0.128296	0.275483
0.091	-0.129049	0.275483
0.092	0.0169066	0.275483
0.093	0.241297	0.275483
0.094	0.112742	0.275483
0.095	-0.182488	0.275483
0.096	-0.214149	0.275483
0.097	-0.0177495	0.275483
0.098	0.143079	0.275483
0.099	0.184477	0.275483
0.1	0.0637064	0.275483
0.101	-0.176217	0.275483
0.102	-0.236388	0.275483
0.103	0.0675366	0.275483
0.104	0.191923	0.275483
0.105	0.091	0.275483
0.106	-0.0603591	0.275483
0.107	-0.1583	0.275483
0.108	-0.100175	0.275483
0.109	0.105912	0.275483
0.11	0.267707	0.275483
0.111	-0.00291541	0.275483
0.112	-0.227139	0.275483
0.113	-0.161151	0.275483
0.114	0.0420332	0.275483
0.115	0.170169	0.275483
0.116	0.158241	0.275483
0.117	-0.00462308	0.275483
0.118	-0.243627	0.275483
0.119	-0.142763	0.275483
0.12	0.144787	0.275483
0.121	0.171255	0.275483
0.122	0.0327338	0.275483
0.123	-0.101291	0.275483
0.124	-0.152885	0.275483
0.125	-0.0503711	0.275483
0.126	0.185354	0.275483
0.127	0.217321	0.275483
0.128	-0.106154	0.275483
0.129	-0.23596	0.275483
0.13	-0.084427	0.275483
0.131	0.0968559	0.275483
0.132	0.183095	0.275483
0.133	0.114461	0.275483
0.134	-0.0869574	0.275483
0.135	-0.27328	0.275483
0.136	-0.0326042	0.275483
0.137	0.179313	0.275483
0.138	0.138182	0.275483
0.139	-0.00486246	0.275483
0.14	-0.138638	0.275483
0.141	-0.13515	0.275483
0.142	0.02846	0.275483
0.143	0.243742	0.275483
0.144	0.105308	0.275483
0.145	-0.18086	0.275483
0.146	-0.213112	0.275483
0.147	-0.0132512	0.275483
0.148	0.145281	0.275483
0.149	0.181004	0.275483
0.15	0.0618434	0.275483
0.151	-0.183109	0.275483
0.152	-0.233937	0.275483
0.153	0.0725768	0.275483
0.154	0.195123	0.275483
0.155	0.0939074	0.275483
0.156	-0.0640953	0.275483
0.157	-0.167774	0.275483
0.158	-0.101961	0.275483
0.159	0.112547	0.275483
0.16	0.273883	0.275483
0.161	-0.00190258	0.275483
0.162	-0.231709	0.275483
0.163	-0.162666	0.275483
0.164	0.0416513	0.275483
0.165	0.170861	0.275483
0.166	0.158186	0.275483
0.167	-0.00511857	0.275483
0.168	-0.24829	0.275483
0.169	-0.138167	0.275483
0.17	0.143941	0.275483
0.171	0.180573	0.275483
0.172	0.0391446	0.275483
0.173	-0.11678	0.275483
0.174	-0.169429	0.275483
0.175	-0.0415615	0.275483
0.176	0.200508	0.275483
0.177	0.216505	0.275483
0.178	-0.10642	0.275483
0.179	-0.237314	0.275483
0.18	-0.0865523	0.275483
0.181	0.0926922	0.275483
0.182	0.182656	0.275483
0.183	0.114617	0.275483
0.184	-0.0937804	0.275858
0.185	-0.268201	0.275483
0.186	-0.0196631	0.275858
0.187	0.183256	0.275858
0.188	0.134251	0.275858
0.189	-0.014531	0.275483
0.19	-0.14386	0.275858
0.191	-0.134798	0.275858
0.192	0.0285483	0.275483
0.193	0.251882	0.275858
0.194	0.103822	0.275483
0.195	-0.182235	0.275483
0.196	-0.20795	0.275858
0.197	-0.00943042	0.275858
0.198	0.142858	0.275483
0.199	0.175612	0.275858
0.2	0.0496452	0.275858
0.201	-0.184787	0.275483
0.202	-0.222418	0.275483
0.203	0.0837932	0.275858
0.204	0.196128	0.275483
0.205	0.0852502	0.275858
0.206	-0.0628392	0.275858
0.207	-0.164947	0.275858
0.208	-0.112782	0.275483
0.209	0.108306	0.275858
0.21	0.274746	0.275483
0.211	-0.00499896	0.275858
0.212	-0.223377	0.275483
0.213	-0.145965	0.275858
0.214	0.0497144	0.275858
0.215	0.166426	0.275858
0.216	0.146981	0.275858
0.217	-0.0274976	0.275483
0.218	-0.260831	0.275858
0.219	-0.125321	0.275858
0.22	0.164014	0.275858
0.221	0.192668	0.275858
0.222	0.0357422	0.275483
0.223	-0.125086	0.275483
0.224	-0.171012	0.275858
0.225	-0.0428598	0.275483
0.226	0.20372	0.275483
0.227	0.205028	0.275483
0.228	-0.116665	0.275483
0.229	-0.231235	0.275483
0.23	-0.0707563	0.275483
0.231	0.101542	0.275483
0.232	0.18292	0.275483
0.233	0.107956	0.275483
0.234	-0.109515	0.275483
0.235	-0.272407	0.275483
0.236	-0.0101345	0.275483
0.237	0.189707	0.275483
0.238	0.138572	0.275483
0.239	-0.0164331	0.275483
0.24	-0.150479	0.275483
0.241	-0.139215	0.275483
0.242	0.0315646	0.275483
0.243	0.260374	0.275483
0.244	0.0978603	0.275483
0.245	-0.186371	0.275483
0.246	-0.202627	0.275483
0.247	-0.00695506	0.275483
0.248	0.139312	0.275483
0.249	0.175118	0.275483
0.25	0.0506887	0.275483
0.251	-0.19265	0.275483
0.252	-0.215637	0.275483
0.253	0.0951733	0.275483
0.254	0.199944	0.275483
0.255	0.0725634	0.275483
0.256	-0.0911933	0.275483
0.257	-0.168505	0.275483
0.258	-0.0817777	0.275483
0.259	0.134569	0.275858
0.26	0.275341	0.275858
0.261	-0.019604	0.275858
0.262	-0.241903	0.275483
0.263	-0.160561	0.275858
0.264	0.036288	0.275858
0.265	0.178353	0.275483
0.266	0.179342	0.275858
0.267	-0.0172436	0.275858
0.268	-0.266396	0.275858
0.269	-0.116607	0.275483
0.27	0.1489	0.275858
0.271	0.162431	0.275858
0.272	0.02684	0.275483
0.273	-0.117067	0.275483
0.274	-0.155767	0.275483
0.275	-0.024566	0.275483
0.276	0.217044	0.275483
0.277	0.19675	0.275858
0.278	-0.127244	0.275858
0.279	-0.238389	0.275858
0.28	-0.0803919	0.275858
0.281	0.100696	0.275483
0.282	0.1921	0.275483
0.283	0.121635	0.275858
0.284	-0.113607	0.275858
0.285	-0.28059	0.275858
0.286	-0.0134367	0.275858
0.287	0.184946	0.275858
0.288	0.130067	0.275858
0.289	-0.0190363	0.275858
0.29	-0.135375	0.275858
0.291	-0.111786	0.275858
0.292	0.0581233	0.275858
0.293	0.266057	0.275858
0.294	0.0756053	0.275858
0.295	-0.226715	0.275858
0.296	-0.251483	0.275483
0.297	-0.04908	0.275858
0.298	0.131751	0.275858
0.299	0.227348	0.275858
0.3	0.183628	0.275858
0.301	-0.0160886	0.275858
0.302	-0.261463	0.275858
0.303	-0.255343	0.275858
0.304	0.0843057	0.275858
0.305	0.205804	0.275858
0.306	0.097638	0.275858
0.307	-0.0609205	0.275858
0.308	-0.15343	0.275858
0.309	-0.0811863	0.275858
0.31	0.137542	0.275858
0.311	0.258327	0.275858
0.312	-0.0415332	0.275858
0.313	-0.245571	0.275858
0.314	-0.145765	0.275858
0.315	0.0613185	0.275858
0.316	0.177692	0.275858
0.317	0.143423	0.275858
0.318	-0.0323891	0.275858
0.319	-0.247563	0.275858
0.32	-0.0990242	0.275858
0.321	0.152379	0.275858
0.322	0.158837	0.275858
0.323	0.0159462	0.275483
0.324	-0.110668	0.275858
0.325	-0.141783	0.275858
0.326	-0.0277835	0.275858
0.327	0.202271	0.275483
0.328	0.183354	0.275858
0.329	-0.135009	0.275483
0.33	-0.230108	0.275483
0.331	-0.060895	0.275858
0.332	0.109446	0.275483
0.333	0.19127	0.275483
0.334	0.105476	0.275483
0.335	-0.117418	0.275483
0.336	-0.26756	0.275483
0.337	-0.00433157	0.275483
0.338	0.179901	0.275483
0.339	0.122307	0.275858
0.34	-0.0196903	0.275483
0.341	-0.145683	0.275483
0.342	-0.122079	0.275483
0.343	0.0546856	0.275483
0.344	0.260254	0.275483
0.345	0.0723529	0.275483
0.346	-0.204501	0.275483
0.347	-0.200503	0.275483
0.348	0.00444831	0.275483
0.349	0.151229	0.275483
0.35	0.178689	0.275483
0.351	0.0402507	0.275483
0.352	-0.206405	0.275483
0.353	-0.205647	0.275483
0.354	0.0998555	0.275483
0.355	0.193044	0.275483
0.356	0.0769957	0.275483
0.357	-0.0797414	0.275483
0.358	-0.163921	0.275483
0.359	-0.0859078	0.275483
0.36	0.129185	0.275483
0.361	0.251173	0.275483
0.362	-0.0354716	0.275483
0.363	-0.225141	0.275483
0.364	-0.131348	0.275483
0.365	0.0647291	0.275483
0.366	0.175916	0.275483
0.367	0.13816	0.275483
0.368	-0.0439383	0.275483
0.369	-0.263629	0.275483
0.37	-0.0949243	0.275483
0.371	0.165399	0.275483
0.372	0.170186	0.275483
0.373	0.020733	0.275483
0.374	-0.122641	0.275483
0.375	-0.160155	0.275483
0.376	-0.0299582	0.275483
0.377	0.22162	0.275483
0.378	0.188306	0.275483
0.379	-0.137176	0.275483
0.38	-0.232531	0.275483
0.381	-0.0633695	0.275483
0.382	0.11017	0.275483
0.383	0.18737	0.275483
0.384	0.103347	0.275483
0.385	-0.120247	0.275483
0.386	-0.266211	0.275483
0.387	0.00344329	0.275483
0.388	0.187401	0.275483
0.389	0.122876	0.275483
0.39	-0.0279598	0.275483
0.391	-0.150234	0.275483
0.392	-0.123845	0.275858
0.393	0.0564981	0.275483
0.394	0.268409	0.275483
0.395	0.0636459	0.275483
0.396	-0.206698	0.275483
0.397	-0.195201	0.275483
0.398	0.00956444	0.275483
0.399	0.15229	0.275858
0.4	0.171775	0.275483
0.401	0.0349316	0.275483
0.402	-0.20624	0.275483
0.403	-0.193138	0.275483
0.404	0.107854	0.275483
0.405	0.189178	0.275483
0.406	0.0633981	0.275483
0.407	-0.0890575	0.275483
0.408	-0.166758	0.275483
0.409	-0.0846873	0.275483
0.41	0.149368	0.275483
0.411	0.263981	0.275483
0.412	-0.0427425	0.275483
0.413	-0.234009	0.275483
0.414	-0.135325	0.275483
0.415	0.0593062	0.275858
0.416	0.171546	0.275483
0.417	0.14215	0.275483
0.418	-0.0364422	0.275483
0.419	-0.262315	0.275483
0.42	-0.0919502	0.275483
0.421	0.167996	0.275483
0.422	0.169509	0.275483
0.423	0.0182363	0.275483
0.424	-0.138105	0.275483
0.425	-0.174418	0.275483
0.426	-0.0160919	0.275858
0.427	0.246377	0.275483
0.428	0.189495	0.275483
0.429	-0.151324	0.275483
0.43	-0.237717	0.275483
0.431	-0.049139	0.275858
0.432	0.115626	0.275858
0.433	0.175163	0.275858
0.434	0.0861171	0.275858
0.435	-0.129524	0.275483
0.436	-0.252651	0.275483
0.437	0.0312209	0.275858
0.438	0.192947	0.275858
0.439	0.111794	0.275483
0.44	-0.0403116	0.275858
0.441	-0.155915	0.275858
0.442	-0.120156	0.275858
0.443	0.0666647	0.275858
0.444	0.266748	0.275858
0.445	0.052567	0.275483
0.446	-0.204055	0.275858
0.447	-0.184545	0.275858
0.448	0.0167731	0.275483
0.449	0.157284	0.275483
0.45	0.163945	0.275858
0.451	0.0164728	0.275858
0.452	-0.209823	0.275858
0.453	-0.168637	0.275483
0.454	0.114056	0.275483
0.455	0.168089	0.275483
0.456	0.0443468	0.275858
0.457	-0.087113	0.275483
0.458	-0.148132	0.275858
0.459	-0.0434064	0.275483
0.46	0.165062	0.275858
0.461	0.214073	0.275483
0.462	-0.0866778	0.275858
0.463	-0.22322	0.275858
0.464	-0.0996272	0.275858
0.465	0.0764027	0.275483
0.466	0.156132	0.275483
0.467	0.104963	0.275483
0.468	-0.0506005	0.275858
0.469	-0.208055	0.275483
0.47	-0.0409956	0.275483
0.471	0.128642	0.275858
0.472	0.103041	0.275483
0.473	-0.00563939	0.275483
0.474	-0.0951733	0.275483
0.475	-0.090934	0.275483
0.476	0.0211348	0.275858
0.477	0.168162	0.275858
0.478	0.0660453	0.275858
0.479	-0.141867	0.275858
0.48	-0.146644	0.275858
0.481	0.00829953	0.275858
0.482	0.104894	0.275858
0.483	0.112977	0.275858
0.484	0.0271228	0.275858
0.485	-0.110036	0.275858
0.486	-0.126114	0.275858
0.487	0.0555956	0.275483
0.488	0.0957851	0.275858
0.489	0.0275049	0.275483
0.49	-0.0389803	0.275858
0.491	-0.0751059	0.275483
0.492	-0.0394917	0.275483
0.493	0.0649101	0.275483
0.494	0.136785	0.275483
0.495	-0.035164	0.275483
0.496	-0.120236	0.275483
0.497	-0.0583632	0.275858
0.498	0.0356755	0.275483
0.499	0.0857725	0.275483
0.5	0.0709495	0.275858
0.501	-0.0231964	0.275858
0.502	-0.126222	0.275483
0.503	-0.040742	0.275483
0.504	0.0871314	0.275483
0.505	0.0660506	0.275483
0.506	-0.00701569	0.275483
0.507	-0.0532503	0.275858
0.508	-0.0674209	0.275483
0.509	-0.00488364	0.275858
0.51	0.106501	0.275858
0.511	0.0895432	0.275858
0.512	-0.0809908	0.275858
0.513	-0.112626	0.275858
0.514	-0.0195569	0.275858
0.515	0.0622595	0.275483
0.516	0.0873974	0.275858
0.517	0.037772	0.275858
0.518	-0.0613677	0.275483
0.519	-0.129243	0.275858
0.52	0.0164677	0.275858
0.521	0.0951364	0.275858
0.522	0.0584115	0.275858
0.523	-0.021144	0.275858
0.524	-0.080473	0.275483
0.525	-0.0590584	0.275483
0.526	0.0349985	0.275858
0.527	0.136965	0.275858
0.528	0.0284075	0.275483
0.529	-0.117159	0.275483
0.53	-0.0960388	0.275483
0.531	0.0246647	0.275483
0.532	0.0887974	0.275483
0.533	0.0786022	0.275858
0.534	-0.000511556	0.275483
0.535	-0.106493	0.275483
0.536	-0.102934	0.275483
0.537	0.0623379	0.275483
0.538	0.102623	0.275483
0.539	0.0353055	0.275483
0.54	-0.047825	0.275483
0.541	-0.0840991	0.275483
0.542	-0.0271406	0.275483
0.543	0.0712366	0.275483
0.544	0.130555	0.275483
0.545	-0.03773	0.275483
0.546	-0.135444	0.275483
0.547	-0.0745965	0.275483
0.548	0.0469587	0.275858
0.549	0.104494	0.275483
0.55	0.0771652	0.275483
0.551	-0.0177276	0.275483
0.552	-0.127299	0.275483
0.553	-0.0458903	0.275483
0.554	0.0857217	0.275483
0.555	0.0562078	0.275858
0.556	-0.0301933	0.275483
0.557	-0.0860704	0.275483
0.558	-0.0478333	0.275483
0.559	0.0661077	0.275483
0.56	0.151209	0.275858
0.561	0.0721077	0.275483
0.562	-0.145339	0.275483
0.563	-0.152742	0.275858
0.564	-0.0280288	0.275483
0.565	0.0797152	0.275858
0.566	0.117144	0.275483
0.567	0.0694633	0.275483
0.568	-0.041954	0.275483
0.569	-0.154621	0.275483
0.57	-0.00287868	0.275858
0.571	0.0885499	0.275483
0.572	0.0570321	0.275483
0.573	-0.03303	0.275483
0.574	-0.076655	0.275483
0.575	-0.0439652	0.275483
0.576	0.0558666	0.275483
0.577	0.16112	0.275483
0.578	0.0181743	0.275858
0.579	-0.150526	0.275483
0.58	-0.135664	0.275858
0.581	0.00266362	0.275483
0.582	0.09651	0.275483
0.583	0.131974	0.275483
0.584	0.0685487	0.275483
0.585	-0.090331	0.275483
0.586	-0.125792	0.275483
0.587	0.0147116	0.275483
0.588	0.0344221	0.275483
0.589	0.00348736	0.275483
0.59	-0.04358	0.275483
0.591	-0.0473216	0.275483
0.592	0.0382936	0.275483
0.593	0.120698	0.275483
0.594	0.14453	0.275858
0.595	-0.0752449	0.275858
0.596	-0.19125	0.275483
0.597	-0.116774	0.275483
0.598	0.0450527	0.275483
0.599	0.120874	0.275858
0.6	0.0787046	0.275483
0.601	3.71543e-05	0.275483
0.602	-0.0874271	0.275483
0.603	-0.00881486	0.275483
0.604	0.0652235	0.275483
0.605	0.0111327	0.275858
0.606	-0.0519793	0.275483
0.607	-0.0775794	0.275483
0.608	-0.0512561	0.275483
0.609	0.039272	0.275483
0.61	0.167991	0.275858
0.611	0.116251	0.275858
0.612	-0.108434	0.275483
0.613	-0.159459	0.275483
0.614	-0.0497142	0.275483
0.615	0.0634224	0.275483
0.616	0.0888788	0.275483
0.617	0.013331	0.275483
0.618	-0.0578523	0.275483
0.619	-0.0772743	0.275483
